project_id;project_name;app_id;app_name;first_seen_at;last_seen_at;last_seen_app_version;last_seen_ip_country;last_seen_platform;last_seen_platform_version;last_seen_sdk_version;last_seen_locale;price_experiment_id;price_experiment_variant;email;phone_number;media_source;campaign;ad_group;ad;keyword;creative;idfa;idfv;gps_ad_id;custom_attributes;has_made_sandbox_purchase;latest_entitlement;latest_product;is_rc_promo;first_purchase_at;trial_start_at;trial_end_at;most_recent_purchase_at;most_recent_renewal_at;latest_expiration_at;subscription_opt_out_at;trial_opt_out_at;total_renewals;total_spent;latest_store;latest_store_country;latest_auto_renew_intent;all_purchased_product_ids;most_recent_billing_issues_at;status;has_made_a_non_subscription_purchase;latest_offer;latest_offer_type;latest_purchased_offering;latest_ownership_type;app_user_id
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1716982607163;1716982607000;1.1.4;BM;iOS;Version 17.4.1 (Build 21E236);4.41.1;"en-US,en;q=0.9";;;;;;;;;;;;;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;$RCAnonymousID:c5a8fe44b6914d07943cbb975c23a7f5
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1716441738955;1716441738000;1.1.4;US;iOS;Version 17.5 (Build 21F79);4.41.1;"en-US,en;q=0.9";;;;;;;;;;;;40C41003-ECC7-4696-B171-6D84C38D5497;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;Oeyy7thyxLVfyvhsgkVUXgOcWJU2
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1716571529859;1716571565000;1.1.4;US;iOS;Version 17.4.1 (Build 21E236);4.41.1;"en-US,en;q=0.9";;;;;;;;;;;;8D386605-2FC8-47E9-88BD-79D17701C7BC;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;8mZqNm1s3QaYGyVC49zZEznxIT13
a2c54556;Speakeasy;;;1717602562148;1717602562164;;;;;;;;;;;;;;;;;;B1A2DC6E-7E44-498B-BC37-20F32BFE0F6C;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;CGksB7OLlNQfYQSRrmCx53kRjUv1
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1715883570387;1715883590000;1.1.4;FR;iOS;Version 17.4.1 (Build 21E236);4.41.1;"en-GB,en;q=0.9";;;;;;;;;;;;C4881954-0EA3-4014-BBB7-D4B94BFCD9FB;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;3xtI96XtD4N6oGUrtwhlRTbc0xN2
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1717118146867;1717118146000;1.1.4;US;iOS;Version 17.4.1 (Build 21E236);4.41.1;"en-US,en;q=0.9";;;;;;;;;;;;80A080FE-5EC9-4425-B9F6-B2078523B46B;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;CAFZSjsVbwZ5AD4APnQkh2cgPhY2
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1716276653741;1716276685000;1.1.4;NZ;iOS;Version 17.4.1 (Build 21E236);4.41.1;"en-NZ,en-AU;q=0.9,en;q=0.8";;;;;;;;;;;;4C84C702-FA33-486B-9823-69F17346C397;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;dX4VsuXXmzalIEhbaWd6ajFoI0D2
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1714836769206;1715212729000;1.1.3;US;iOS;Version 17.4.1 (Build 21E236);4.41.1;"en-US,en;q=0.9";;;;;;;;;;;;;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;NmMkQ18dsHVcGZVRWtZlXwdULtJ2
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1716017584788;1716017584000;1.1.4;IE;iOS;Version 17.4.1 (Build 21E236);4.41.1;"en-GB,en;q=0.9";;;;;;;;;;;;F077AACA-D804-4DBB-AF9D-7625858A7BE7;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;$RCAnonymousID:0813d7775bc34f11a0b37300c0766fa7
a2c54556;Speakeasy;appa50cc30c2d;Speakeasy AI Dictation (App Store);1716264424405;1717210304000;1.1.4;US;iOS;Version 16.7.5 (Build 20H307);4.41.1;"en-US,en;q=0.9";;;;;;;;;;;;0DE77CB6-880A-4A2C-AF8F-643265AEC8F2;;;f;;;;;;;;;;;;;;;;f;;;;f;;;;;vNNkZwSZVXZTFdzSr32Hgxm8aTu2
