text-lg,col2,py-3,ml-auto href
Better PDF Plugin,36871,Insert scale rotate and cut-out PDF pages into your notes.,https://github.com/MSzturc/obsidian-better-pdf-plugin
ReadItLater,36616,Collect interesting information from you clipboard into your vault. A website will be converted to MD Tweets and YouTube Videos embedded plain text will just saved into a new notice.,https://github.com/DominikPieper/obsidian-ReadItLater
Heatmap Calendar,36527,"Activity Year Overview for DataviewJS Github style – Track Goals Progress Habits Tasks Exercise Finances ""Dont Break the Chain"" etc.",https://github.com/Richardsl/heatmap-calendar-obsidian
Google Calendar,36460,Interact with your Google Calendar from inside Obsidian.,https://github.com/YukiGasai/obsidian-google-calendar
Metatable,36324,Display the whole frontmatter section as a collapsible table.,https://github.com/arnau/obsidian-metatable
Map View,35180,An interactive map view for your notes.,https://github.com/esm7/obsidian-map-view
Initiative Tracker,34722,TTRPG Initiative Tracker for Obsidian.,https://github.com/javalent/initiative-tracker
CardBoard,34476,Display Markdown tasks on kanban-style boards.,https://github.com/roovo/obsidian-card-board
Quiet Outline,33828,Make outline quiet and more powerful including no-auto-expand rendering heading as Markdown and search support.,https://github.com/guopenghui/obsidian-quiet-outline
Flashcards,33482,Anki integration.,https://github.com/reuseman/flashcards-obsidian
Mousewheel Image zoom,33454,Enables you to increase/decrease the size of an image by scrolling.,https://github.com/nicojeske/mousewheel-image-zoom
Local REST API,32995,Unlock your automation needs by interacting with your notes over a secure REST API.,https://github.com/coddingtonbear/obsidian-local-rest-api
CodeMirror Options,31552,Enhance Obsidian's desktop edit mode with features such as WYSIWYG / Live Preview Syntax Highlighting and more.,https://github.com/nothingislost/obsidian-codemirror-options
Privacy Glasses,31161,Provides a ribbon icon and command to blur onscreen text for better privacy.,https://github.com/jillalberts/privacy-glasses
Filename Heading Sync,30749,Keep the filename with the first heading of a file in sync.,https://github.com/dvcrn/obsidian-filename-heading-sync
Execute Code,30680,Execute code snippets within a note.,https://github.com/twibiral/obsidian-execute-code
Charts View,30531,Data visualization solution in Obsidian support plots and graphs.,https://github.com/caronchen/obsidian-chartsview-plugin
Longform,30433,Helps you write and edit novels screenplays and other long projects.,https://github.com/kevboh/longform
AidenLx's Folder Note,30377,Add description summary and more info to folders with folder notes.,https://github.com/aidenlx/alx-folder-note
Table Extended,29666,Enable extended table support with MultiMarkdown 6 syntax.,https://github.com/aidenlx/table-extended
Completr,29641,Provides advanced auto-completion functionality for LaTeX frontmatter and standard writing.,https://github.com/tth05/obsidian-completr
Focus Mode,29615,Add Focus Mode to Obsidian.,https://github.com/ryanpcmcquen/obsidian-focus-mode
Zoottelkeeper Plugin,29381,It maintains index files in all of your folders in your vault: if you create/delete/move a note the index files will be updated automatically. It can be used to show folders in Graph View.,https://github.com/akosbalasko/zoottelkeeper-obsidian-plugin
Copy Block Link,28828,Get links to blocks and headings from Obsidian's right click menu.,https://github.com/mgmeyers/obsidian-copy-block-link
Graph Analysis,27855,Find hidden connections between notes in your vault using cool graph algorithms.,https://github.com/SkepticMystic/graph-analysis
Media Extended BiliBili Plugin,27204,Add advanced bilibili videos support for Media Extended plugin.,https://github.com/aidenlx/mx-bili-plugin
